variant,precision,recall,f1,fpr,content_flag_recall
classifier only,0.0,0.0,0.0,0.1379,0.0233
similarity only,0.5217,0.7059,0.6,0.1897,
both (fusion),0.7692,0.5882,0.6667,0.0517,0.0233
chunking disabled,0.75,0.5294,0.6207,0.0517,0.0233
