drift_threshold,authorship_margin,uncorroborated_weight,suspicious,ramp_width,precision,recall,f1,fpr,tp,fp,fn,tn,hn_fpr,malicious_precision
0.2,0.0,0.6,0.4,0.2,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.0,0.6,0.4,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.0,0.6,0.5,0.1,0.4286,0.5294,0.4737,0.2069,9,12,8,46,0.5556,0.0
0.2,0.0,0.6,0.5,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.0,0.6,0.5,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.0,0.6,0.6,0.1,0.5294,0.5294,0.5294,0.1379,9,8,8,50,0.5556,0.0
0.2,0.0,0.6,0.6,0.2,0.5,0.4706,0.4848,0.1379,8,8,9,50,0.5556,0.0
0.2,0.0,0.6,0.6,0.3,0.5333,0.4706,0.5,0.1207,8,7,9,51,0.5556,0.0
0.2,0.0,0.6,0.7,0.1,0.0,0.0,0.0,0.0172,0,1,17,57,0.1111,0.0
0.2,0.0,0.6,0.7,0.2,0.0,0.0,0.0,0.0172,0,1,17,57,0.1111,0.0
0.2,0.0,0.6,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.0,0.8,0.3,0.1,0.3846,0.5882,0.4651,0.2759,10,16,7,42,0.5556,0.0
0.2,0.0,0.8,0.3,0.2,0.375,0.5294,0.439,0.2586,9,15,8,43,0.5556,0.0
0.2,0.0,0.8,0.3,0.3,0.3478,0.4706,0.4,0.2586,8,15,9,43,0.5556,0.0
0.2,0.0,0.8,0.4,0.1,0.3913,0.5294,0.45,0.2414,9,14,8,44,0.5556,0.0
0.2,0.0,0.8,0.4,0.2,0.4091,0.5294,0.4615,0.2241,9,13,8,45,0.5556,0.0
0.2,0.0,0.8,0.4,0.3,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.0,0.8,0.5,0.1,0.4286,0.5294,0.4737,0.2069,9,12,8,46,0.5556,0.0
0.2,0.0,0.8,0.5,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.0,0.8,0.5,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.0,0.8,0.6,0.1,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.0,0.8,0.6,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.0,0.8,0.6,0.3,0.4444,0.4706,0.4571,0.1724,8,10,9,48,0.5556,0.0
0.2,0.0,0.8,0.7,0.1,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
0.2,0.0,0.8,0.7,0.2,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
0.2,0.0,0.8,0.7,0.3,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
0.2,0.0,1.0,0.3,0.1,0.3846,0.5882,0.4651,0.2759,10,16,7,42,0.5556,0.0
0.2,0.0,1.0,0.3,0.2,0.375,0.5294,0.439,0.2586,9,15,8,43,0.5556,0.0
0.2,0.0,1.0,0.3,0.3,0.3478,0.4706,0.4,0.2586,8,15,9,43,0.5556,0.0
